id,name,position,height_2024,inches_2024,old_height,old_inches,new_height,new_inches,change_24_25,change_25_26,total_change,br_id
682985,Riley Greene,LF,"6' 3""",75,"6'2""",74,"6'2""",74,-1,0,-1,greenri03
545341,Randal Grichuk,RF,"6' 2""",74,"6'0""",72,"6'0""",72,-2,0,-2,grichra01
663757,Trent Grisham,CF,"5' 11""",71,"5'10""",70,"5'10""",70,-1,0,-1,grishtr01
665489,Vladimir Guerrero Jr.,1B,"6' 2""",74,"6'0""",72,"6'0""",72,-2,0,-2,guerrvl02
664059,Sam Haggerty,CF,"5' 11""",71,"5'11""",71,"5'11""",71,0,0,0,haggesa01
669084,DL Hall,P,"6' 2""",74,"6'1""",73,"6'1""",73,-1,0,-1,halldl01
676106,Emerson Hancock,P,"6' 4""",76,"6'4""",76,"6'4""",76,0,0,0,hancoem01
690986,Kyle Harrison,P,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,harriky01
640451,Hunter Harvey,P,"6' 3""",75,"6'3""",75,"6'3""",75,0,0,0,harvehu01
663647,Ke'Bryan Hayes,3B,"5' 11""",71,"5'11""",71,"5'11""",71,0,0,0,hayeske01
687396,Brent Headrick,P,"6' 6""",78,"6'6""",78,"6'6""",78,0,0,0,headrbr01
595978,Austin Hedges,C,"6' 1""",73,"6'0""",72,"6'0""",72,-1,0,-1,hedgeau01
641680,Jonah Heim,C,"6' 4""",76,"6'4""",76,"6'4""",76,0,0,0,heimjo01
623168,Tyler Heineman,C,"5' 10""",70,"5'10""",70,"5'10""",70,0,0,0,heinety01
664854,Ryan Helsley,P,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,helslry01
683002,Gunnar Henderson,SS,"6' 3""",75,"6'3""",75,"6'3""",75,0,0,0,hendegu01
669371,Cole Henry,P,"6' 4""",76,"6'4""",76,"6'4""",76,0,0,0,redirect.fcgi?player=1&amp;mlb_ID=669371
623474,Jimmy Herget,P,"6' 3""",75,"6'3""",75,"6'3""",75,0,0,0,hergeji01
606192,Teoscar Hernández,RF,"6' 2""",74,"6'0""",72,"6'0""",72,-2,0,-2,hernate01
671056,Iván Herrera,C,"5' 11""",71,"5'11""",71,"5'11""",71,0,0,0,herreiv01
682120,Tim Herrin,P,"6' 6""",78,"6'6""",78,"6'6""",78,0,0,0,herriti01
663855,Jordan Hicks,P,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,hicksjo03
657612,Tim Hill,P,"6' 4""",76,"6'4""",76,"6'4""",76,0,0,0,hillti01
663538,Nico Hoerner,2B,"6' 1""",73,"5'11""",71,"5'11""",71,-2,0,-2,hoernni01
656546,Jeff Hoffman,P,"6' 5""",77,"6'5""",77,"6'5""",77,0,0,0,hoffmje02
670059,Colin Holderman,P,"6' 4""",76,"6'6""",78,"6'6""",78,2,0,2,holdeco01
605280,Clay Holmes,P,"6' 5""",77,"6'5""",77,"6'5""",77,0,0,0,holmecl01
663947,Tyler Holton,P,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,holtoty01
656555,Rhys Hoskins,1B,"6' 4""",76,"6'3""",75,"6'3""",75,-1,0,-1,hoskirh01
628451,Andy Ibáñez,3B,"5' 10""",70,"5'10""",70,"5'10""",70,0,0,0,ibanean01
628452,Raisel Iglesias,P,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,iglesra01
684007,Shota Imanaga,P,"5' 10""",70,"5'10""",70,"5'10""",70,0,0,0,imanash01
663623,Jake Irvin,P,"6' 6""",78,"6'6""",78,"6'6""",78,0,0,0,irvinja01
664728,Kyle Isbel,CF,"5' 11""",71,"5'10""",70,"5'10""",70,-1,0,-1,isbelky01
445276,Kenley Jansen,P,"6' 5""",77,"6'5""",77,"6'5""",77,0,0,0,janseke01
664299,Cristian Javier,P,"6' 1""",73,"6'1""",73,"6'1""",73,0,0,0,javiecr01
643377,Griffin Jax,P,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,jaxgr01
572955,Pierce Johnson,P,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,johnspi01
663330,Jahmai Jones,RF,"6' 0""",72,"5'10""",70,"5'10""",70,-2,0,-2,jonesja08
592450,Aaron Judge,RF,"6' 7""",79,"6'7""",79,"6'7""",79,0,0,0,judgeaa01
673962,Josh Jung,3B,"6' 2""",74,"6'1""",73,"6'1""",73,-1,0,-1,jungjo01
596001,Jakob Junis,P,"6' 3""",75,"6'3""",75,"6'3""",75,0,0,0,junisja01
676083,Janson Junk,P,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,junkja01
690993,Colt Keith,2B,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,keithco01
641745,Brad Keller,P,"6' 5""",77,"6'5""",77,"6'5""",77,0,0,0,kellebr01
656605,Mitch Keller,P,"6' 3""",75,"6'3""",75,"6'3""",75,0,0,0,kellemi03
608348,Carson Kelly,C,"6' 2""",74,"6'1""",73,"6'1""",73,-1,0,-1,kellyca02
687330,Kevin Kelly,P,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,kellyke02
687849,Zak Kent,P,"6' 3""",75,"6'3""",75,"6'3""",75,0,0,0,redirect.fcgi?player=1&amp;mlb_ID=687849
579328,Yusei Kikuchi,P,"6' 0""",72,"6'0""",72,"6'0""",72,0,0,0,kikucyu01
643396,Isiah Kiner-Falefa,SS,"5' 11""",71,"5'10""",70,"5'10""",70,-1,0,-1,kineris01
667463,John King,P,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,kingjo01
650633,Michael King,P,"6' 3""",75,"6'3""",75,"6'3""",75,0,0,0,kingmi01
641755,Tyler Kinley,P,"6' 4""",76,"6'4""",76,"6'4""",76,0,0,0,kinlety01
669923,George Kirby,P,"6' 4""",76,"6'4""",76,"6'4""",76,0,0,0,kirbyge01
672386,Alejandro Kirk,C,"5' 8""",68,"5'8""",68,"5'8""",68,0,0,0,kirkal01
694361,Will Klein,P,"6' 5""",77,"6'5""",77,"6'5""",77,0,0,0,kleinwi01
686799,Jack Kochanowicz,P,"6' 7""",79,"6'7""",79,"6'7""",79,0,0,0,redirect.fcgi?player=1&amp;mlb_ID=686799
657649,Jared Koenig,P,"6' 5""",77,"6'5""",77,"6'5""",77,0,0,0,koenija01
680757,Steven Kwan,LF,"5' 9""",69,"5'8""",68,"5'8""",68,-1,0,-1,kwanst01
656638,Alex Lange,P,"6' 3""",75,"6'3""",75,"6'3""",75,0,0,0,langeal01
694671,Wyatt Langford,LF,"6' 0""",72,"6'0""",72,"6'0""",72,0,0,0,langfwy01
663616,Trevor Larnach,RF,"6' 4""",76,"6'3""",75,"6'3""",75,-1,0,-1,larnatr01
656641,Jacob Latz,P,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,latzja01
691783,Jordan Lawlar,SS,"6' 1""",73,"6'0""",72,"6'0""",72,-1,0,-1,lawlajo01
664875,Justin Lawrence,P,"6' 3""",75,"6'3""",75,"6'3""",75,0,0,0,lawreju01
673929,Jordan Leasure,P,"6' 3""",75,"6'3""",75,"6'3""",75,0,0,0,leasujo01
669276,Dylan Lee,P,"6' 3""",75,"6'3""",75,"6'3""",75,0,0,0,leedy01
808982,Jung Hoo Lee,CF,"6' 1""",73,"6'0""",72,"6'0""",72,-1,0,-1,leeju01
668984,Casey Legumina,P,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,legumca01
683004,Jack Leiter,P,"6' 1""",73,"6'1""",73,"6'1""",73,0,0,0,leiteja01
643410,Mark Leiter Jr.,P,"6' 0""",72,"6'0""",72,"6'0""",72,0,0,0,leitema02
668904,Royce Lewis,3B,"6' 2""",74,"6'0""",72,"6'0""",72,-2,0,-2,lewisro02
669461,Matthew Liberatore,P,"6' 4""",76,"6'4""",76,"6'4""",76,0,0,0,liberma01
596019,Francisco Lindor,SS,"5' 11""",71,"5'10""",70,"5'10""",70,-1,0,-1,lindofr01
641793,Zack Littell,P,"6' 4""",76,"6'4""",76,"6'4""",76,0,0,0,litteza01
663893,Brendon Little,P,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,littlbr02
642528,Jonathan Loáisiga,P,"5' 11""",71,"5'11""",71,"5'11""",71,0,0,0,loaisjo01
625643,Reynaldo López,P,"6' 1""",73,"6'1""",73,"6'1""",73,0,0,0,lopezre01
663992,Richard Lovelady,P,"6' 0""",72,"6'0""",72,"6'0""",72,0,0,0,lovelri01
663993,Nathaniel Lowe,1B,"6' 4""",76,"6'4""",76,"6'4""",76,0,0,0,lowena01
664192,Joey Lucchesi,P,"6' 5""",77,"6'5""",77,"6'5""",77,0,0,0,lucchjo01
607625,Seth Lugo,P,"6' 4""",76,"6'4""",76,"6'4""",76,0,0,0,lugose01
664770,Nathan Lukes,RF,"5' 11""",71,"5'11""",71,"5'11""",71,0,0,0,lukesna01
666200,Jesús Luzardo,P,"6' 0""",72,"6'0""",72,"6'0""",72,0,0,0,luzarje01
663738,Daniel Lynch IV,P,"6' 6""",78,"6'6""",78,"6'6""",78,0,0,0,lynchda02
592518,Manny Machado,3B,"6' 3""",75,"6'2""",74,"6'2""",74,-1,0,-1,machama01
641816,Tyler Mahle,P,"6' 3""",75,"6'3""",75,"6'3""",75,0,0,0,mahlety01
640455,Sean Manaea,P,"6' 5""",77,"6'5""",77,"6'5""",77,0,0,0,manaese01
665561,Rafael Marchán,C,"5' 9""",69,"5'9""",69,"5'9""",69,0,0,0,marchra01
676760,Ron Marinaccio,P,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,marinro01
608566,Germán Márquez,P,"6' 1""",73,"6'1""",73,"6'1""",73,0,0,0,marquge01
669016,Brandon Marsh,CF,"6' 4""",76,"6'2""",74,"6'2""",74,-2,0,-2,marshbr02
606466,Ketel Marte,2B,"6' 1""",73,"6'0""",72,"6'0""",72,-1,0,-1,marteke01
516782,Starling Marte,LF,"6' 1""",73,"6'0""",72,"6'0""",72,-1,0,-1,martest01
455119,Chris Martin,P,"6' 8""",80,"6'8""",80,"6'8""",80,0,0,0,martich02
663436,Davis Martin,P,"6' 1""",73,"6'2""",74,"6'2""",74,1,0,1,martida03
607259,Nick Martinez,P,"6' 1""",73,"6'1""",73,"6'1""",73,0,0,0,martini01
664208,Phil Maton,P,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,matonph01
571927,Steven Matz,P,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,matzst01
669160,Dustin May,P,"6' 6""",78,"6'6""",78,"6'6""",78,0,0,0,maydu01
641835,Tim Mayza,P,"6' 3""",75,"6'3""",75,"6'3""",75,0,0,0,mayzati01
621121,Lance McCullers Jr.,P,"6' 1""",73,"6'1""",73,"6'1""",73,0,0,0,mcculla02
457705,Andrew McCutchen,RF,"5' 10""",70,"5'10""",70,"5'10""",70,0,0,0,mccutan01
624512,Reese McGuire,C,"6' 0""",72,"6'0""",72,"6'0""",72,0,0,0,mcguire01
641857,Ryan McMahon,3B,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,mcmahry01
643446,Jeff McNeil,2B,"6' 1""",73,"6'0""",72,"6'0""",72,-1,0,-1,mcneije01
678009,Parker Meadows,CF,"6' 5""",77,"6'5""",77,"6'5""",77,0,0,0,meadopa01
683232,Nick Mears,P,"6' 2""",74,"6'3""",75,"6'3""",75,1,0,1,mearsni01
656730,Trevor Megill,P,"6' 8""",80,"6'8""",80,"6'8""",80,0,0,0,megiltr01
675848,Juan Mejia,P,"6' 3""",75,"6'3""",75,"6'3""",75,0,0,0,redirect.fcgi?player=1&amp;mlb_ID=675848
676974,Max Meyer,P,"6' 0""",72,"6'0""",72,"6'0""",72,0,0,0,meyerma01
676694,Jake Meyers,CF,"6' 0""",72,"6'0""",72,"6'0""",72,0,0,0,meyerja02
571945,Miles Mikolas,P,"6' 4""",76,"6'4""",76,"6'4""",76,0,0,0,mikolmi01
669062,Erik Miller,P,"6' 5""",77,"6'5""",77,"6'5""",77,0,0,0,milleer01
695243,Mason Miller,P,"6' 5""",77,"6'5""",77,"6'5""",77,0,0,0,millema03
571948,Hoby Milner,P,"6' 3""",75,"6'3""",75,"6'3""",75,0,0,0,milneho01
669003,Garrett Mitchell,CF,"6' 3""",75,"6'2""",74,"6'2""",74,-1,0,-1,mitchga01
663554,Casey Mize,P,"6' 3""",75,"6'3""",75,"6'3""",75,0,0,0,mizeca01
669387,Carmen Mlodzinski,P,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,mlodzca01
594580,Sam Moll,P,"5' 9""",69,"5'9""",69,"5'9""",69,0,0,0,mollsa01
655316,Andruw Monasterio,SS,"5' 11""",71,"5'11""",71,"5'11""",71,0,0,0,monasan01
660162,Yoán Moncada,3B,"6' 2""",74,"6'0""",72,"6'0""",72,-2,0,-2,moncayo01
666624,Christopher Morel,LF,"5' 11""",71,"6'0""",72,"6'0""",72,1,0,1,morelch01
672515,Gabriel Moreno,C,"5' 11""",71,"5'9""",69,"5'9""",69,-2,0,-2,morenga01
663624,Ryan Mountcastle,1B,"6' 4""",76,"6'3""",75,"6'3""",75,-1,0,-1,mountry01
662253,Andrés Muñoz,P,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,munozan01
682610,Roddery Muñoz,P,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,munozro01
669684,Chris Murphy,P,"6' 1""",73,"6'1""",73,"6'1""",73,0,0,0,murphch01
667472,Dane Myers,CF,"6' 0""",72,"6'0""",72,"6'0""",72,0,0,0,myersda01
668964,Tobias Myers,P,"6' 1""",73,"6'1""",73,"6'1""",73,0,0,0,myersto01
647304,Josh Naylor,1B,"5' 11""",71,"5'10""",70,"5'10""",70,-1,0,-1,naylojo01
669194,Ryne Nelson,P,"6' 3""",75,"6'3""",75,"6'3""",75,0,0,0,nelsory01
687263,Zach Neto,SS,"6' 0""",72,"5'11""",71,"5'11""",71,-1,0,-1,netoza01
656794,Sean Newcomb,P,"6' 5""",77,"6'5""",77,"6'5""",77,0,0,0,newcose01
605400,Aaron Nola,P,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,nolaaa01
683083,Nasim Nuñez,SS,"5' 9""",69,"5'8""",68,"5'8""",68,-1,0,-1,nunezna01
676617,Riley O'Brien,P,"6' 4""",76,"6'4""",76,"6'4""",76,0,0,0,obrieri01
656811,Ryan O'Hearn,1B,"6' 3""",75,"6'2""",74,"6'2""",74,-1,0,-1,ohearry01
681351,Logan O'Hoppe,C,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,ohopplo01
641927,Bailey Ober,P,"6' 9""",81,"6'9""",81,"6'9""",81,0,0,0,oberba01
595345,Steven Okert,P,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,okertst01
621566,Matt Olson,1B,"6' 5""",77,"6'4""",76,"6'4""",76,-1,0,-1,olsonma02
687401,Joey Ortiz,SS,"5' 9""",69,"5'10""",70,"5'10""",70,1,0,1,ortizjo06
681546,James Outman,CF,"6' 3""",75,"6'2""",74,"6'2""",74,-1,0,-1,outmaja01
670912,Johan Oviedo,P,"6' 5""",77,"6'6""",78,"6'6""",78,1,0,1,oviedjo01
542303,Marcell Ozuna,DH,"6' 1""",73,"6'1""",73,"6'1""",73,0,0,0,ozunama01
663978,Chris Paddack,P,"6' 5""",77,"6'5""",77,"6'5""",77,0,0,0,paddach01
641941,Emilio Pagán,P,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,paganem01
681624,Andy Pages,CF,"6' 0""",72,"6'1""",73,"6'1""",73,1,0,1,pagesan01
686780,Pedro Pagés,C,"6' 1""",73,"5'11""",71,"5'11""",71,-2,0,-2,redirect.fcgi?player=1&amp;mlb_ID=686780
694037,Daniel Palencia,P,"5' 11""",71,"5'11""",71,"5'11""",71,0,0,0,palenda01
669467,Andre Pallante,P,"6' 0""",72,"6'0""",72,"6'0""",72,0,0,0,pallaan01
670623,Isaac Paredes,3B,"5' 11""",71,"5'11""",71,"5'11""",71,0,0,0,paredis01
686469,Vinnie Pasquantino,1B,"6' 4""",76,"6'3""",75,"6'3""",75,-1,0,-1,pasquvi01
688363,Graham Pauley,3B,"6' 1""",73,"6'1""",73,"6'1""",73,0,0,0,paulegr01
606303,Joel Payamps,P,"6' 2""",74,"6'3""",75,"6'3""",75,1,0,1,payamjo01
592626,Joc Pederson,1B,"6' 1""",73,"6'1""",73,"6'1""",73,0,0,0,pederjo01
642547,Freddy Peralta,P,"6' 0""",72,"6'0""",72,"6'0""",72,0,0,0,peralfr01
593974,Wandy Peralta,P,"6' 0""",72,"6'0""",72,"6'0""",72,0,0,0,peralwa01
672724,Oswald Peraza,3B,"6' 0""",72,"5'11""",71,"5'11""",71,-1,0,-1,perazos02
672695,Geraldo Perdomo,SS,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,perdoge01
677592,Everson Pereira,CF,"5' 11""",71,"5'11""",71,"5'11""",71,0,0,0,pereiev01
672335,Cionel Pérez,P,"6' 0""",72,"6'0""",72,"6'0""",72,0,0,0,perezci01
691587,Eury Pérez,P,"6' 8""",80,"6'8""",80,"6'8""",80,0,0,0,perezeu02
663368,Blake Perkins,CF,"6' 0""",72,"6'0""",72,"6'0""",72,0,0,0,perkibl01
656849,David Peterson,P,"6' 6""",78,"6'6""",78,"6'6""",78,0,0,0,peterda01
694297,Brandon Pfaadt,P,"6' 4""",76,"6'4""",76,"6'4""",76,0,0,0,pfaadbr01
683175,Connor Phillips,P,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,phillco01
601713,Nick Pivetta,P,"6' 5""",77,"6'5""",77,"6'5""",77,0,0,0,pivetni01
593871,Jorge Polanco,2B,"5' 11""",71,"6'0""",72,"6'0""",72,1,0,1,polanjo01
647315,Zach Pop,P,"6' 4""",76,"6'4""",76,"6'4""",76,0,0,0,popza01
500779,Jose Quintana,P,"6' 1""",73,"6'2""",74,"6'2""",74,1,0,1,quintjo01
678882,Ceddanne Rafaela,CF,"5' 9""",69,"5'10""",70,"5'10""",70,1,0,1,rafaece01
666142,Cole Ragans,P,"6' 4""",76,"6'4""",76,"6'4""",76,0,0,0,raganco01
663728,Cal Raleigh,C,"6' 3""",75,"6'2""",74,"6'2""",74,-1,0,-1,raleica01
548384,Brooks Raley,P,"6' 3""",75,"6'3""",75,"6'3""",75,0,0,0,raleybr01
670042,Luke Raley,RF,"6' 4""",76,"6'3""",75,"6'3""",75,-1,0,-1,raleylu01
682663,Agustín Ramírez,C,"6' 0""",72,"6'1""",73,"6'1""",73,1,0,1,redirect.fcgi?player=1&amp;mlb_ID=682663
608070,José Ramírez,3B,"5' 9""",69,"5'8""",68,"5'8""",68,-1,0,-1,ramirjo01
670990,Yohan Ramírez,P,"6' 4""",76,"6'3""",75,"6'3""",75,-1,0,-1,ramiryo01
671218,Heliot Ramos,LF,"5' 11""",71,"5'11""",71,"5'11""",71,0,0,0,ramoshe02
656876,Drew Rasmussen,P,"6' 1""",73,"6'1""",73,"6'1""",73,0,0,0,rasmudr01
592662,Robbie Ray,P,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,rayro02
607067,Colin Rea,P,"6' 5""",77,"6'5""",77,"6'5""",77,0,0,0,reaco01
592663,J.T. Realmuto,C,"6' 1""",73,"6'0""",72,"6'0""",72,-1,0,-1,realmjt01
668804,Bryan Reynolds,RF,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,reynobr01
685005,Christian Roa,P,"6' 4""",76,"6'4""",76,"6'4""",76,0,0,0,redirect.fcgi?player=1&amp;mlb_ID=685005
673357,Luis Robert Jr.,CF,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,roberlu01
677587,Brayan Rocchio,SS,"5' 10""",70,"5'9""",69,"5'9""",69,-1,0,-1,rocchbr01
573124,Taylor Rogers,P,"6' 3""",75,"6'3""",75,"6'3""",75,0,0,0,rogerta01
669432,Trevor Rogers,P,"6' 5""",77,"6'5""",77,"6'5""",77,0,0,0,rogertr01
643511,Tyler Rogers,P,"6' 3""",75,"6'3""",75,"6'3""",75,0,0,0,rogerty01
605447,Jordan Romano,P,"6' 5""",77,"6'5""",77,"6'5""",77,0,0,0,romanjo03
668941,JoJo Romero,P,"5' 11""",71,"5'11""",71,"5'11""",71,0,0,0,romerjo01
605452,Joe Ross,P,"6' 4""",76,"6'4""",76,"6'4""",76,0,0,0,rossjo01
694738,Landen Roupp,P,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,rouppla01
657746,Joe Ryan,P,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,ryanjo04
519242,Chris Sale,P,"6' 6""",78,"6'6""",78,"6'6""",78,0,0,0,salech01
596142,Gary Sánchez,C,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,sanchga02
663485,Cole Sands,P,"6' 3""",75,"6'3""",75,"6'3""",75,0,0,0,sandsco01
467793,Carlos Santana,1B,"5' 11""",71,"5'10""",70,"5'10""",70,-1,0,-1,santaca01
642701,Dennis Santana,P,"6' 2""",74,"6'2""",74,"6'2""",74,0,0,0,santade01
